Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
57 1981828 2133880 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1153 5 0 965 3 0 28/09/22 21:26:10
58 1981040 2134668 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 935 3 0 965 3 0 28/09/22 21:26:11
59 1981740 2133968 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1089 4 0 965 3 0 28/09/22 21:26:12
60 1980952 2134756 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 4498 14 0 5400 16 0 28/09/22 21:26:13
61 1981472 2134236 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1089 4 0 965 3 0 28/09/22 21:26:14
62 1980672 2135032 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 935 3 0 965 3 0 28/09/22 21:26:15
63 1981508 2134196 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 313 3 0 204 1 0 28/09/22 21:26:16
64 1980816 2134888 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 4518 14 0 3727 15 0 28/09/22 21:26:17
65 1981792 2133912 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 935 3 0 965 3 0 28/09/22 21:26:18
66 1980704 2135000 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 1089 4 0 965 3 0 28/09/22 21:26:19
67 1981500 2134204 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.72 935 3 0 965 3 0 28/09/22 21:26:20
68 1981468 2134236 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 1089 4 0 965 3 0 28/09/22 21:26:21
69 1981084 2134620 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 4503 14 0 5404 16 0 28/09/22 21:26:22
70 1981476 2134228 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 1091 4 0 967 3 0 28/09/22 21:26:24
71 1980664 2135040 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 937 3 0 967 3 0 28/09/22 21:26:25
72 1981440 2134260 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 1284 6 0 1171 4 0 28/09/22 21:26:26
73 1980668 2135032 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 2105 7 0 2098 9 0 28/09/22 21:26:27
74 1981860 2133840 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 3364 10 0 2607 9 0 28/09/22 21:26:28
75 1980732 2134968 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 2681 9 0 2188 8 0 28/09/22 21:26:29
76 1981496 2134196 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 4463633 3023 0 4465457 3028 0 28/09/22 21:26:30
77 1985020 2126484 1096 0 0 1992552 108280 6% 1.65 0.51 3.00 0.11 94.72 2841240 2141 0 2860103 2155 0 28/09/22 21:26:31
78 1983840 2120692 1096 0 0 1992552 108280 6% 1.65 0.51 3.01 0.11 94.71 3202918 2426 0 3186033 2404 0 28/09/22 21:26:32
79 1978948 2122444 1096 0 0 1992552 108280 6% 1.66 0.51 3.01 0.11 94.70 3977667 2995 0 4007941 3014 0 28/09/22 21:26:33
80 1976224 2106348 1096 0 0 1992552 108280 6% 1.66 0.51 3.01 0.11 94.70 4247345 3201 0 4329438 3253 0 28/09/22 21:26:34
81 1969808 2101404 1096 0 0 1992552 108280 6% 1.66 0.51 3.02 0.11 94.69 3677668 2809 0 3711578 2826 0 28/09/22 21:26:36
82 1964564 2098324 1096 0 0 1992552 108280 6% 1.67 0.51 3.02 0.11 94.68 4310319 3252 0 4402183 3300 0 28/09/22 21:26:37
83 1960176 2098164 1096 0 0 1992552 108280 6% 1.67 0.52 3.02 0.11 94.67 3807407 2865 0 3775055 2841 0 28/09/22 21:26:38
84 1954076 2100300 1096 0 0 1992552 108280 6% 1.67 0.52 3.03 0.11 94.67 4372181 3305 0 4367464 3284 0 28/09/22 21:26:39
85 1949996 2100032 1096 0 0 1992552 108280 6% 1.68 0.52 3.03 0.11 94.66 4089751 3089 0 4146317 3107 0 28/09/22 21:26:40
86 1943972 2101560 1096 0 0 1992552 108280 6% 1.68 0.52 3.04 0.11 94.65 4238432 3195 0 4265812 3210 0 28/09/22 21:26:41
87 1939804 2101480 1096 0 0 1992552 108280 6% 1.68 0.52 3.04 0.11 94.64 3721375 2844 0 3832498 2896 0 28/09/22 21:26:42
88 1933596 2076588 1096 0 0 1992552 108280 6% 1.69 0.52 3.04 0.11 94.63 3933734 3001 0 4004641 3033 0 28/09/22 21:26:44
89 1929256 2076688 1096 0 0 1992552 108280 6% 1.69 0.52 3.05 0.11 94.63 3306385 2561 0 3479117 2668 0 28/09/22 21:26:45
90 1924204 2078284 1096 0 0 1992552 108280 6% 1.69 0.52 3.05 0.11 94.62 4392029 3179 0 4464926 3222 0 28/09/22 21:26:46
91 1922560 2066032 1096 0 0 1992552 108280 6% 1.69 0.52 3.05 0.11 94.61 4353502 3286 0 4340686 3270 0 28/09/22 21:26:47
92 1916856 2067080 1096 0 0 1992552 108280 6% 1.70 0.52 3.05 0.11 94.61 3839982 2780 0 3802224 2758 0 28/09/22 21:26:48
93 1913952 2066036 1096 0 0 1992552 108280 6% 1.70 0.52 3.06 0.11 94.60 3999902 3046 0 4028275 3037 0 28/09/22 21:26:49
94 1910064 2065600 1096 0 0 1992552 108280 6% 1.70 0.52 3.06 0.11 94.59 3885536 2930 0 3918504 2938 0 28/09/22 21:26:50
95 1903828 2067872 1096 0 0 1992552 108280 6% 1.70 0.53 3.07 0.11 94.59 4250922 3212 0 4292578 3222 0 28/09/22 21:26:51
96 1901140 2036304 1096 0 0 1992552 108280 6% 1.71 0.53 3.07 0.11 94.58 4307104 3268 0 4346098 3261 0 28/09/22 21:26:53
97 1894356 2038848 1096 0 0 1992552 108280 6% 1.71 0.53 3.07 0.11 94.57 4274802 3256 0 4307915 3247 0 28/09/22 21:26:54
98 1890332 2038792 1096 0 0 1992552 108280 6% 1.71 0.53 3.07 0.11 94.56 3995532 2933 0 4063466 2974 0 28/09/22 21:26:55
99 1886172 2038848 1096 0 0 1992552 108280 6% 1.72 0.53 3.08 0.11 94.56 4284592 3271 0 4259296 3223 0 28/09/22 21:26:56
100 1882640 2038100 1096 0 0 1992552 108280 6% 1.72 0.53 3.08 0.11 94.55 3942432 3022 0 3942385 3012 0 28/09/22 21:26:57
101 1877156 2039076 1096 0 0 1992552 108280 6% 1.72 0.53 3.08 0.11 94.54 3893906 2979 0 3879512 2937 0 28/09/22 21:26:58
102 1874868 2010604 1096 0 0 1992552 108280 6% 1.73 0.53 3.09 0.11 94.54 4065859 3068 0 4237600 3156 0 28/09/22 21:26:59
103 1873888 2006996 1096 0 0 1992552 108280 6% 1.73 0.53 3.09 0.11 94.53 3551381 2740 0 3581325 2735 0 28/09/22 21:27:00
104 1868040 2009260 1096 0 0 1992552 108280 6% 1.73 0.53 3.09 0.11 94.52 4236334 3118 0 4204035 3072 0 28/09/22 21:27:01
105 1865464 2007540 1096 0 0 1992552 108280 6% 1.74 0.53 3.10 0.12 94.51 4168115 3162 0 4148938 3116 0 28/09/22 21:27:03
106 1859652 2009048 1096 0 0 1992552 108280 6% 1.74 0.53 3.10 0.12 94.51 3787510 2767 0 3801466 2768 0 28/09/22 21:27:04
107 1857236 2006996 1096 0 0 1992552 108280 6% 1.74 0.53 3.11 0.12 94.50 3533768 2708 0 3538224 2688 0 28/09/22 21:27:05
108 1855928 1978016 1096 0 0 1992552 108280 6% 1.74 0.54 3.11 0.12 94.49 3187168 2399 0 3197157 2398 0 28/09/22 21:27:06
109 1854068 1976296 1096 0 0 1992552 108280 6% 1.75 0.54 3.11 0.12 94.48 3938734 2829 0 3913312 2807 0 28/09/22 21:27:07
110 1852780 1973476 1096 0 0 1992552 108280 6% 1.75 0.54 3.12 0.12 94.48 3977257 3020 0 4040715 3040 0 28/09/22 21:27:08
111 1860744 1944472 1096 0 0 1992552 108280 6% 1.75 0.54 3.12 0.12 94.47 3929475 2952 0 3959865 2962 0 28/09/22 21:27:09
112 1857164 1943724 1096 0 0 1992552 108280 6% 1.76 0.54 3.12 0.12 94.46 3935445 3009 0 4022532 3044 0 28/09/22 21:27:11
113 1851696 1945284 1096 0 0 1992552 108280 6% 1.76 0.54 3.13 0.12 94.46 2464493 1860 0 2485128 1879 0 28/09/22 21:27:12
114 1850596 1942688 1096 0 0 1992552 108280 6% 1.76 0.54 3.13 0.12 94.45 4550884 3404 0 4583173 3413 0 28/09/22 21:27:13
115 1845896 1942764 1096 0 0 1992552 108280 6% 1.76 0.54 3.13 0.12 94.44 4432344 3344 0 4318608 3246 0 28/09/22 21:27:14
116 1845708 1937708 1096 0 0 1992552 108280 6% 1.77 0.54 3.14 0.12 94.44 4302002 3283 0 4561083 3437 0 28/09/22 21:27:15
117 1849384 1920620 1096 0 0 1992552 108280 6% 1.77 0.54 3.14 0.12 94.43 3691223 2685 0 3618564 2633 0 28/09/22 21:27:16
