Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
63 640820 3453232 1088 0 0 1992552 108280 6% 3.55 2.20 14.78 0.20 79.27 4029850 2796 0 69306 223 0 05/10/22 22:58:30
64 640720 3449248 1088 0 0 1992552 108280 6% 3.55 2.20 14.79 0.20 79.25 3497483 2436 0 63851 202 0 05/10/22 22:58:31
65 667996 3392168 1088 0 0 1992552 108280 6% 3.56 2.20 14.80 0.20 79.23 3998996 2782 0 72501 237 0 05/10/22 22:58:33
66 669132 3386940 1088 0 0 1992552 108280 6% 3.56 2.20 14.81 0.20 79.22 3317816 2334 0 68248 232 0 05/10/22 22:58:34
67 668648 3384120 1088 0 0 1992552 108280 6% 3.57 2.21 14.82 0.20 79.20 3802548 2628 0 58751 202 0 05/10/22 22:58:35
68 679148 3369756 1088 0 0 1992552 108280 6% 3.57 2.21 14.84 0.20 79.18 4201095 2920 0 71311 239 0 05/10/22 22:58:36
69 710012 3317820 1088 0 0 1992552 108280 6% 3.58 2.21 14.84 0.20 79.16 4131490 2882 0 72604 247 0 05/10/22 22:58:37
70 723112 3289540 1088 0 0 1992552 108280 6% 3.58 2.21 14.86 0.20 79.14 3389055 2363 0 61422 208 0 05/10/22 22:58:38
71 723060 3286248 1088 0 0 1992552 108280 6% 3.59 2.22 14.87 0.20 79.13 3961078 2759 0 69692 225 0 05/10/22 22:58:39
72 724232 3281144 1088 0 0 1992552 108280 6% 3.59 2.22 14.88 0.20 79.11 4188932 2921 0 77934 265 0 05/10/22 22:58:40
73 730768 3270356 1088 0 0 1992552 108280 6% 3.59 2.22 14.89 0.20 79.09 3374538 2354 0 62461 212 0 05/10/22 22:58:41
74 742232 3254952 1088 0 0 1992552 108280 6% 3.60 2.22 14.90 0.20 79.07 4159899 2891 0 74844 240 0 05/10/22 22:58:42
75 775052 3191180 1088 0 0 1992552 108280 6% 3.60 2.23 14.91 0.20 79.05 4091495 2857 0 78657 257 0 05/10/22 22:58:43
76 776360 3185824 1088 0 0 1992552 108280 6% 3.61 2.23 14.92 0.20 79.03 1739323 1218 0 33897 108 0 05/10/22 22:58:44
77 787572 3172860 1088 0 0 1992552 108280 6% 3.61 2.23 14.93 0.20 79.02 6543821 4435 0 61426 227 0 05/10/22 22:58:46
78 793396 3160600 1088 0 0 1992552 108280 6% 3.61 2.23 14.94 0.20 79.01 3925848 2730 0 69452 228 0 05/10/22 22:58:47
79 794080 3155860 1088 0 0 1992552 108280 6% 3.62 2.23 14.95 0.20 78.99 4253567 2948 0 69343 227 0 05/10/22 22:58:48
80 806584 3138684 1088 0 0 1992552 108280 6% 3.62 2.23 14.96 0.20 78.97 2935222 2036 0 48768 167 0 05/10/22 22:58:49
81 819248 3122680 1088 0 0 1992552 108280 6% 3.63 2.24 14.97 0.20 78.96 3358711 2258 0 21910 103 0 05/10/22 22:58:50
82 843052 3093592 1088 0 0 1992552 108280 6% 3.63 2.24 14.97 0.20 78.95 4323550 3000 0 73374 240 0 05/10/22 22:58:51
83 844508 3087440 1088 0 0 1992552 108280 6% 3.63 2.24 14.99 0.20 78.93 4372206 3039 0 76729 257 0 05/10/22 22:58:52
84 846820 3080716 1088 0 0 1992552 108280 6% 3.64 2.24 15.00 0.20 78.91 3196074 2236 0 59647 202 0 05/10/22 22:58:53
85 875552 3014996 1088 0 0 1992552 108280 6% 3.64 2.24 15.01 0.20 78.90 4976929 3403 0 60148 224 0 05/10/22 22:58:54
86 876948 3008744 1088 0 0 1992552 108280 6% 3.65 2.25 15.02 0.21 78.88 1827952 1267 0 30699 117 0 05/10/22 22:58:55
87 878144 3005624 1088 0 0 1992552 108280 6% 3.65 2.25 15.02 0.20 78.88 5976335 4064 0 59259 229 0 05/10/22 22:58:56
88 899184 2969164 1088 0 0 1992552 108280 6% 3.65 2.25 15.03 0.21 78.86 3843797 2635 0 48110 183 0 05/10/22 22:58:57
89 903224 2961076 1088 0 0 1992552 108280 6% 3.66 2.25 15.04 0.21 78.85 4130141 2872 0 70079 231 0 05/10/22 22:58:59
90 905308 2954760 1088 0 0 1992552 108280 6% 3.66 2.25 15.05 0.21 78.83 3159068 2183 0 49675 164 0 05/10/22 22:59:00
91 933404 2905516 1088 0 0 1992552 108280 6% 3.67 2.26 15.06 0.21 78.81 4233704 2921 0 67286 219 0 05/10/22 22:59:01
92 933464 2901060 1088 0 0 1992552 108280 6% 3.67 2.26 15.07 0.21 78.79 4155536 2870 0 65186 219 0 05/10/22 22:59:02
93 936032 2894256 1088 0 0 1992552 108280 6% 3.67 2.26 15.08 0.21 78.77 3681026 2518 0 43272 154 0 05/10/22 22:59:03
94 954440 2863536 1088 0 0 1992552 108280 6% 3.68 2.26 15.09 0.21 78.76 4075458 2826 0 68790 223 0 05/10/22 22:59:04
95 954628 2859220 1088 0 0 1992552 108280 6% 3.68 2.27 15.10 0.21 78.74 3982657 2743 0 58907 191 0 05/10/22 22:59:05
96 985036 2824340 1088 0 0 1992552 108280 6% 3.68 2.27 15.11 0.21 78.72 3724086 2575 0 62341 212 0 05/10/22 22:59:06
97 987108 2789296 1088 0 0 1992552 108280 6% 3.69 2.27 15.12 0.21 78.70 4297711 2986 0 74504 255 0 05/10/22 22:59:07
98 988236 2993564 1088 0 0 1992552 108280 6% 3.70 2.28 15.13 0.21 78.68 3835128 2685 0 76829 249 0 05/10/22 22:59:08
99 997480 2978160 1088 0 0 1992552 108280 6% 3.70 2.28 15.14 0.21 78.66 3625907 2536 0 70488 231 0 05/10/22 22:59:09
100 1001676 2957756 1088 0 0 1992552 108280 6% 3.71 2.28 15.15 0.21 78.64 3935195 2710 0 54610 191 0 05/10/22 22:59:11
101 1001380 2953968 1088 0 0 1992552 108280 6% 3.71 2.28 15.16 0.21 78.63 2408960 1654 0 32488 130 0 05/10/22 22:59:12
102 1003144 2949784 1088 0 0 1992552 108280 6% 3.71 2.28 15.17 0.21 78.62 5173129 3526 0 55614 210 0 05/10/22 22:59:13
103 1007908 2939920 1088 0 0 1992552 108280 6% 3.71 2.28 15.18 0.21 78.61 4075599 2834 0 71464 238 0 05/10/22 22:59:14
104 1018604 2924028 1088 0 0 1992552 108280 6% 3.72 2.29 15.19 0.21 78.59 3989439 2771 0 68079 218 0 05/10/22 22:59:15
105 1061088 2846316 1088 0 0 1992552 108280 6% 3.72 2.29 15.20 0.21 78.57 1816070 1243 0 22966 91 0 05/10/22 22:59:16
