ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
121 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:18
122 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,08 67 0 1951720 3648864 28/09/22 21:39:20
123 2,00 0,00 0,00 0,00 2,00 18,00 0,00 32,08 67 0 1951984 3648864 28/09/22 21:39:22
124 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,08 67 0 1951984 3648864 28/09/22 21:39:24
125 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,08 67 0 1951984 3648864 28/09/22 21:39:26
126 1,98 9,90 0,00 0,00 11,88 75,25 0,00 32,08 88 0 1951984 3648864 28/09/22 21:39:28
127 0,99 0,00 0,00 0,00 0,99 24,75 0,00 32,06 67 0 1950864 3648864 28/09/22 21:39:30
128 1,00 0,00 0,00 0,00 1,00 48,00 0,00 32,07 67 0 1951128 3648864 28/09/22 21:39:32
129 0,99 0,99 0,00 0,00 1,98 0,00 0,00 32,07 67 0 1951128 3648864 28/09/22 21:39:34
130 2,94 0,00 0,00 0,00 2,94 0,00 0,00 32,07 67 0 1951128 3648864 28/09/22 21:39:37
131 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:39
132 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:41
133 1,98 0,99 0,00 0,00 2,97 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:43
134 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:45
135 0,99 0,99 0,00 0,00 1,98 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:47
136 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:49
137 0,00 1,00 0,00 0,00 1,00 0,00 0,00 32,07 67 0 1951376 3648864 28/09/22 21:39:51
